Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Kobe Bryant,28,LAL,SG,77,77,40.8,10.6,22.8,.463,1.8,5.2,.344,8.8,17.6,.497,.502,8.7,10.0,.868,1.0,4.7,5.7,5.4,1.4,0.5,3.3,2.7,31.6,MVP-3DPOY-24ASNBA1DEF1,bryanko01
2,Carmelo Anthony,22,DEN,SF,65,65,38.2,10.6,22.4,.476,0.6,2.3,.268,10.0,20.1,.499,.489,7.1,8.7,.808,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,MVP-15ASNBA3,anthoca01
3,Gilbert Arenas,25,WAS,PG,74,73,39.8,8.7,20.9,.418,2.8,7.9,.351,6.0,13.0,.459,.484,8.2,9.7,.844,0.8,3.7,4.6,6.0,1.9,0.2,3.2,3.4,28.4,MVP-8ASNBA2,arenagi01
4,Dwyane Wade,25,MIA,SG,51,50,37.9,9.3,18.9,.491,0.4,1.5,.266,8.8,17.3,.511,.502,8.5,10.5,.807,1.0,3.7,4.7,7.5,2.1,1.2,4.2,2.3,27.4,MVP-12ASNBA3,wadedw01
5,LeBron James,22,CLE,SF,78,78,40.9,9.9,20.8,.476,1.3,4.0,.319,8.6,16.8,.513,.507,6.3,9.0,.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,MVP-5ASNBA2,jamesle01
6,Michael Redd,27,MIL,SF,53,53,38.4,9.0,19.3,.465,2.2,5.8,.382,6.8,13.6,.501,.522,6.5,7.8,.829,0.8,2.9,3.7,2.3,1.2,0.2,2.3,1.5,26.7,,reddmi01
7,Ray Allen,31,SEA,SG,55,55,40.3,9.2,21.0,.438,3.0,8.1,.372,6.2,12.9,.479,.510,5.1,5.6,.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4,AS,allenra02
8,Allen Iverson,31,2TM,SG,65,64,42.5,8.9,20.2,.442,1.0,3.0,.315,8.0,17.2,.465,.466,7.5,9.4,.795,0.4,2.6,3.0,7.2,1.9,0.2,4.1,1.5,26.3,AS,iversal01
8,Allen Iverson,31,PHI,PG,15,15,42.7,10.1,24.4,.413,0.8,3.5,.226,9.3,20.9,.444,.429,10.3,11.6,.885,0.5,2.3,2.7,7.3,2.2,0.1,4.4,1.4,31.2,,iversal01
8,Allen Iverson,31,DEN,SG,50,49,42.4,8.6,18.9,.454,1.0,2.9,.347,7.6,16.1,.473,.480,6.6,8.7,.759,0.3,2.7,3.0,7.2,1.8,0.2,4.0,1.5,24.8,,iversal01
9,Vince Carter,30,NJN,SG,82,82,38.1,8.9,19.5,.454,1.9,5.3,.357,7.0,14.2,.491,.503,5.6,7.0,.802,1.4,4.6,6.0,4.8,1.0,0.4,2.6,3.2,25.2,AS,cartevi01
10,Joe Johnson,25,ATL,SG,57,57,41.4,9.4,20.0,.471,2.1,5.5,.381,7.3,14.5,.504,.523,4.1,5.5,.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0,AS,johnsjo02
11,Yao Ming,26,HOU,C,48,48,33.8,8.8,17.1,.516,0.0,0.0,.000,8.8,17.0,.518,.516,7.4,8.6,.862,2.1,7.3,9.4,2.0,0.4,2.0,3.5,3.3,25.0,DPOY-24ASNBA2,mingya01
12,Paul Pierce,29,BOS,SG,47,46,37.0,7.9,18.1,.439,2.3,5.9,.389,5.7,12.2,.463,.502,6.8,8.6,.796,0.8,5.1,5.9,4.1,1.0,0.3,3.2,2.6,25.0,,piercpa01
13,Tracy McGrady,27,HOU,SG,71,71,35.8,9.0,20.8,.431,1.8,5.4,.331,7.2,15.5,.466,.474,4.9,6.9,.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,MVP-6ASNBA2,mcgratr01
14,Dirk Nowitzki,28,DAL,PF,78,78,36.2,8.6,17.2,.502,0.9,2.2,.416,7.7,15.0,.515,.529,6.4,7.1,.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,MVP-1ASNBA1,nowitdi01
15,Zach Randolph,25,POR,PF,68,67,35.7,8.8,18.9,.467,0.2,0.7,.292,8.6,18.2,.473,.472,5.8,7.1,.819,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7,23.6,,randoza01
16,Chris Bosh,22,TOR,C,69,69,38.5,7.9,15.9,.496,0.2,0.5,.343,7.7,15.3,.501,.502,6.7,8.6,.785,2.7,8.0,10.7,2.5,0.6,1.3,2.6,2.4,22.6,MVP-7ASNBA2,boshch01
17,Kevin Garnett,30,MIN,PF,76,76,39.4,8.4,17.6,.476,0.2,0.7,.214,8.2,16.9,.487,.480,5.5,6.6,.835,2.4,10.4,12.8,4.1,1.2,1.7,2.7,2.4,22.4,MVP-9DPOY-13ASNBA3DEF2,garneke01
18,Rashard Lewis,27,SEA,SF,60,60,39.1,7.7,16.8,.461,2.5,6.5,.390,5.2,10.3,.505,.536,4.4,5.3,.841,1.5,5.1,6.6,2.4,1.1,0.7,2.0,2.4,22.4,,lewisra02
