Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
388,Sean Singletary,23,PHO,PG,13,1,9.4,0.9,2.8,.324,0.3,0.8,.400,0.6,2.1,.296,.378,0.5,0.5,1.000,0.4,0.8,1.2,0.9,0.5,0.0,0.4,1.1,2.6,,singlse01
388,Sean Singletary,23,CHA,PG,24,1,7.5,0.8,2.0,.396,0.3,0.6,.400,0.5,1.4,.394,.458,0.5,0.6,.800,0.2,0.6,0.8,0.7,0.2,0.0,0.8,1.3,2.3,,singlse01
389,Dee Brown,24,2TM,PG,19,11,13.7,0.9,2.6,.367,0.4,1.3,.292,0.6,1.3,.440,.439,0.2,0.3,.600,0.4,1.2,1.5,1.9,0.5,0.0,0.9,1.5,2.4,,brownde03
389,Dee Brown,24,WAS,PG,17,11,13.7,1.0,2.6,.386,0.4,1.2,.300,0.6,1.4,.458,.455,0.1,0.2,.333,0.4,1.2,1.6,1.9,0.6,0.0,0.8,1.3,2.4,,brownde03
389,Dee Brown,24,PHO,PG,2,0,14.0,0.5,2.5,.200,0.5,2.0,.250,0.0,0.5,.000,.300,1.0,1.0,1.000,0.0,0.5,0.5,1.5,0.0,0.0,1.5,3.0,2.5,,brownde03
390,Brevin Knight,33,UTA,PG,74,0,12.7,0.9,2.6,.349,0.0,0.1,.000,0.9,2.5,.361,.349,0.6,0.9,.750,0.2,1.0,1.2,2.6,0.9,0.1,0.9,1.3,2.4,,knighbr01
391,Josh McRoberts,21,IND,PF,33,0,8.5,1.1,2.5,.422,0.0,0.3,.000,1.1,2.2,.479,.422,0.3,0.4,.769,0.8,1.5,2.2,0.5,0.4,0.5,0.4,1.2,2.4,,mcrobjo01
392,Sean Williams,22,NJN,PF,33,0,11.1,0.9,2.2,.417,0.0,0.0,,0.9,2.2,.417,.417,0.6,1.0,.625,1.0,1.4,2.4,0.4,0.2,0.9,0.6,2.2,2.4,,willise01
393,DeSagana Diop,27,2TM,C,75,1,13.8,1.0,2.3,.433,0.0,0.0,,1.0,2.3,.433,.433,0.3,0.9,.333,1.5,2.1,3.6,0.4,0.4,0.7,0.5,1.7,2.3,,diopde01
393,DeSagana Diop,27,DAL,C,34,0,13.3,0.6,1.7,.379,0.0,0.0,,0.6,1.7,.379,.379,0.4,0.9,.414,1.3,2.1,3.5,0.4,0.4,0.7,0.3,1.6,1.6,,diopde01
